X,Y
0.830550448,0.796910624
0.099858968,0.791415801
0.508953752,0.662407317
0.733180909,0.502995849
0.075409169,0.442005265
0.353048702,0.104901048
0.0535012,0.26419146
0.473787401,0.485985657
0.112451403,0.908301716
0.883998858,0.612219325
0.101544491,0.044157915
0.33847109,0.471777989
0.326899208,0.860139913
0.694737775,0.468724129
0.168707285,0.905088744
0.854214003,0.208249767
0.327882739,0.677848832
0.722644097,0.556982147
0.487093168,0.971829562
0.75232459,0.547865738
0.134389726,0.403342979
0.57912304,0.431334121
0.269576712,0.1601731
0.650236576,0.31166848
0.504311393,0.267521038
0.269024862,0.299628322
0.175434289,0.97326854
0.287229518,0.477621537
0.86438567,0.885391521
0.339941284,0.250384187
0.831349872,0.386615331
0.926293814,0.317054052
0.509189929,0.921264314
0.502754926,0.102419315
0.802583776,0.023172352
0.466110598,0.802008945
0.601118122,0.004488422
0.992385335,0.031043802
0.364077479,0.479801909
0.487293504,0.277078693
0.580169684,0.09867619
0.256781634,0.852461264
0.050568752,0.041811213
0.852708654,0.756783234
0.482097899,0.500035843
0.115624038,0.584023425
0.907282691,0.696913867
0.720713992,0.31727067
0.997466272,0.183093228
0.196008384,0.493573457
0.133224797,0.430574194
0.229230187,0.432252396
0.92402385,0.589044834
0.95459335,0.249527654
0.961978653,0.177813239
0.617535902,0.851340759
0.111518778,0.155962201
0.865458193,0.074745652
0.583418787,0.738552903
0.738162429,0.431357999
0.738829157,0.414861516
0.493231635,0.051879229
0.957646515,0.013749807
0.881775336,0.183114063
0.222172077,0.237814379
0.936049204,0.687627018
0.03029188,0.608039649
0.923076112,0.053663815
0.852951125,0.02436535
0.619156879,0.917264896
0.215531835,0.750721344
0.549308919,0.469884178
0.749268372,0.468640638
0.162712367,0.283602358
0.791747093,0.303572912
0.096723938,0.316350899
0.233296554,0.43403181
0.646596996,0.633399122
0.694312115,0.032266328
0.363884378,0.580165682
0.834091045,0.989594708
0.437784941,0.851045494
0.225906847,0.830250777
0.058847269,0.962930118
0.414785073,0.185227573
0.538477281,0.311495193
0.650782097,0.946032612
0.273271227,0.691490725
0.362571607,0.046048934
0.597344411,0.06885598
0.268812654,0.085620673
0.60995641,0.390119078
0.130404764,0.237266407
0.267913466,0.103834634
0.827705301,0.218549894
0.521338078,0.862714545
0.784874165,0.455076733
0.390185781,0.706873267
0.232168691,0.394678195
